cfc_item_index,cfc_materia,cfc_item_titulo,v2_topic_id,v2_materia,v2_topico,score,cont_v1,cont_v2,sobra,relacao_sugerida,revisado,observacao
6,Direito Administrativo,Organização da Administração Pública e Terceiro Setor,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.2,0.4,0.12,CFC+: [publica terceiro setor] | V2+: [administrativa direta indireta autarquias],PARCIAL,,Análise manual necessária
6,Direito Administrativo,Organização da Administração Pública e Terceiro Setor,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.12,0.2,0.11,CFC+: [organizacao publica terceiro setor] | V2+: [controle responsabilizacao administrativo judicial],NENHUM,,Análise manual necessária
7,Direito Administrativo,Serviços Públicos,trt4_2026p__adm_t9,Direito Administrativo,"Tópico 09 - Serviços públicos: Conceito, regime jurídico, princípios, delegação (autorização, permissão, concessão)",0.44,1,0.2,V2+: [conceito regime juridico principios],CFC_MAIS_ESTREITO,,Análise manual necessária
7,Direito Administrativo,Serviços Públicos,trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.2,0.5,0.08,CFC+: [servicos] | V2+: [servidores cargo emprego funcao],PARCIAL,,Análise manual necessária
7,Direito Administrativo,Serviços Públicos,trt4_2026p__adm_t10,Direito Administrativo,"Tópico 10 - Bens públicos (classificação, regime jurídico, formas de uso) e Intervenção do Estado na propriedade (desapropriação, servidão, tombamento)",0.2,0.5,0.08,CFC+: [servicos] | V2+: [bens classificacao regime juridico],PARCIAL,,Análise manual necessária
7,Direito Administrativo,Serviços Públicos,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.19,0.5,0.06,CFC+: [servicos] | V2+: [organizacao administrativa administracao direta],PARCIAL,,Análise manual necessária
8,Direito Administrativo,Responsabilidade Civil do Estado,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.35,0.67,0.22,CFC+: [civil] | V2+: [controle responsabilizacao administracao administrativo],CFC_MAIS_ESTREITO,,Análise manual necessária
8,Direito Administrativo,Responsabilidade Civil do Estado,trt4_2026p__adm_t10,Direito Administrativo,"Tópico 10 - Bens públicos (classificação, regime jurídico, formas de uso) e Intervenção do Estado na propriedade (desapropriação, servidão, tombamento)",0.15,0.33,0.08,CFC+: [responsabilidade civil] | V2+: [bens publicos classificacao regime],PARCIAL,,Análise manual necessária
9,Direito Administrativo,Controle da Administração Pública,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.35,0.67,0.22,CFC+: [publica] | V2+: [responsabilizacao administrativo judicial legislativo],CFC_MAIS_ESTREITO,,Análise manual necessária
9,Direito Administrativo,Controle da Administração Pública,trt4_2026p__adm_t1,Direito Administrativo,"Tópico 01 - Administração Pública: Princípios básicos e Poderes Administrativos (hierárquico, disciplinar, regulamentar, polícia, uso/abuso de poder)",0.31,0.67,0.17,CFC+: [controle] | V2+: [principios basicos poderes administrativos],CFC_MAIS_ESTREITO,,Análise manual necessária
9,Direito Administrativo,Controle da Administração Pública,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.14,0.33,0.06,CFC+: [controle publica] | V2+: [organizacao administrativa direta indireta],PARCIAL,,Análise manual necessária
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t5,Direito Administrativo,Tópico 05 - Processo administrativo federal (Lei nº 9.784/1999),1,0.83,0.71,CFC+: [784/99] | V2+: [n 784/1999],PARCIAL,,Correspondência forte sugerida
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t7,Direito Administrativo,Tópico 07 - Improbidade Administrativa (Lei nº 8.429/1992 e Lei nº 14.230/2021),0.12,0.17,0.13,CFC+: [9 784/99 processo administrativo] | V2+: [improbidade administrativa n 8],NENHUM,,Análise manual necessária
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t8,Direito Administrativo,Tópico 08 - Nova Lei de Licitações e Contratos Administrativos (Lei nº 14.133/2021),0.12,0.17,0.13,CFC+: [9 784/99 processo administrativo] | V2+: [nova licitacoes contratos administrativos],NENHUM,,Análise manual necessária
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t2,Direito Administrativo,"Tópico 02 - Ato administrativo: Conceito, requisitos, atributos, anulação, revogação, convalidação, discricionariedade e vinculação",0.11,0.17,0.1,CFC+: [lei 9 784/99 processo] | V2+: [ato conceito requisitos atributos],NENHUM,,Análise manual necessária
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.11,0.17,0.11,CFC+: [lei 9 784/99 processo] | V2+: [controle responsabilizacao administracao judicial],NENHUM,,Análise manual necessária
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.1,0.17,0.08,CFC+: [9 784/99 processo administrativo] | V2+: [servidores publicos cargo emprego],NENHUM,,Análise manual necessária
10,Direito Administrativo,Lei 9.784/99  –   Processo Administrativo Federal,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.09,0.17,0.06,CFC+: [9 784/99 processo administrativo] | V2+: [organizacao administrativa administracao direta],NENHUM,,Análise manual necessária
11,Direito Administrativo,Bens Públicos,trt4_2026p__adm_t10,Direito Administrativo,"Tópico 10 - Bens públicos (classificação, regime jurídico, formas de uso) e Intervenção do Estado na propriedade (desapropriação, servidão, tombamento)",0.41,1,0.15,V2+: [classificacao regime juridico formas],CFC_MAIS_ESTREITO,,Análise manual necessária
11,Direito Administrativo,Bens Públicos,trt4_2026p__adm_t9,Direito Administrativo,"Tópico 09 - Serviços públicos: Conceito, regime jurídico, princípios, delegação (autorização, permissão, concessão)",0.22,0.5,0.1,CFC+: [bens] | V2+: [servicos conceito regime juridico],PARCIAL,,Análise manual necessária
11,Direito Administrativo,Bens Públicos,trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.2,0.5,0.08,CFC+: [bens] | V2+: [servidores cargo emprego funcao],PARCIAL,,Análise manual necessária
11,Direito Administrativo,Bens Públicos,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.19,0.5,0.06,CFC+: [bens] | V2+: [organizacao administrativa administracao direta],PARCIAL,,Análise manual necessária
12,Direito Administrativo,Intervenção do Estado na Propriedade Privada,trt4_2026p__adm_t10,Direito Administrativo,"Tópico 10 - Bens públicos (classificação, regime jurídico, formas de uso) e Intervenção do Estado na propriedade (desapropriação, servidão, tombamento)",0.38,0.75,0.23,CFC+: [privada] | V2+: [bens publicos classificacao regime],CFC_MAIS_ESTREITO,,Análise manual necessária
12,Direito Administrativo,Intervenção do Estado na Propriedade Privada,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.14,0.25,0.11,CFC+: [intervencao propriedade privada] | V2+: [controle responsabilizacao administracao administrativo],NENHUM,,Análise manual necessária
13,Direito Administrativo,Lei 12.527/12  –   Acesso à Informação,trt4_2026p__adm_t5,Direito Administrativo,Tópico 05 - Processo administrativo federal (Lei nº 9.784/1999),0.14,0.2,0.14,CFC+: [12 527/12 acesso informacao] | V2+: [processo administrativo federal n],NENHUM,,Análise manual necessária
13,Direito Administrativo,Lei 12.527/12  –   Acesso à Informação,trt4_2026p__adm_t7,Direito Administrativo,Tópico 07 - Improbidade Administrativa (Lei nº 8.429/1992 e Lei nº 14.230/2021),0.13,0.2,0.13,CFC+: [12 527/12 acesso informacao] | V2+: [improbidade administrativa n 8],NENHUM,,Análise manual necessária
13,Direito Administrativo,Lei 12.527/12  –   Acesso à Informação,trt4_2026p__adm_t8,Direito Administrativo,Tópico 08 - Nova Lei de Licitações e Contratos Administrativos (Lei nº 14.133/2021),0.13,0.2,0.13,CFC+: [12 527/12 acesso informacao] | V2+: [nova licitacoes contratos administrativos],NENHUM,,Análise manual necessária
13,Direito Administrativo,Lei 12.527/12  –   Acesso à Informação,trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.11,0.2,0.08,CFC+: [12 527/12 acesso informacao] | V2+: [servidores publicos cargo emprego],NENHUM,,Análise manual necessária
13,Direito Administrativo,Lei 12.527/12  –   Acesso à Informação,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.1,0.2,0.06,CFC+: [12 527/12 acesso informacao] | V2+: [organizacao administrativa administracao direta],NENHUM,,Análise manual necessária
14,Direito Administrativo,Lei 8.112/90  –   Estatuto Dos Servidores Públicos Federais,trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.71,0.57,0.31,CFC+: [112/90 estatuto federais] | V2+: [cargo emprego funcao n],PARCIAL,,Correspondência forte sugerida
14,Direito Administrativo,Lei 8.112/90  –   Estatuto Dos Servidores Públicos Federais,trt4_2026p__adm_t7,Direito Administrativo,Tópico 07 - Improbidade Administrativa (Lei nº 8.429/1992 e Lei nº 14.230/2021),0.57,0.29,0.25,CFC+: [112/90 estatuto servidores publicos] | V2+: [improbidade administrativa n 429/1992],PARCIAL,,Correspondência forte sugerida
14,Direito Administrativo,Lei 8.112/90  –   Estatuto Dos Servidores Públicos Federais,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.16,0.29,0.12,CFC+: [8 112/90 estatuto servidores] | V2+: [organizacao administrativa administracao direta],NENHUM,,Análise manual necessária
15,Direito Administrativo,Lei 14.133/21  –   Nova Lei de Licitações (Parte de Licitações),trt4_2026p__adm_t8,Direito Administrativo,Tópico 08 - Nova Lei de Licitações e Contratos Administrativos (Lei nº 14.133/2021),0.86,0.67,0.5,CFC+: [133/21 parte] | V2+: [contratos administrativos n 133/2021],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
15,Direito Administrativo,Lei 14.133/21  –   Nova Lei de Licitações (Parte de Licitações),trt4_2026p__adm_t7,Direito Administrativo,Tópico 07 - Improbidade Administrativa (Lei nº 8.429/1992 e Lei nº 14.230/2021),0.59,0.33,0.25,CFC+: [133/21 nova licitacoes parte] | V2+: [improbidade administrativa n 8],PARCIAL,,Correspondência forte sugerida
15,Direito Administrativo,Lei 14.133/21  –   Nova Lei de Licitações (Parte de Licitações),trt4_2026p__adm_t5,Direito Administrativo,Tópico 05 - Processo administrativo federal (Lei nº 9.784/1999),0.13,0.17,0.14,CFC+: [14 133/21 nova licitacoes] | V2+: [processo administrativo federal n],NENHUM,,Análise manual necessária
15,Direito Administrativo,Lei 14.133/21  –   Nova Lei de Licitações (Parte de Licitações),trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.1,0.17,0.08,CFC+: [14 133/21 nova licitacoes] | V2+: [servidores publicos cargo emprego],NENHUM,,Análise manual necessária
15,Direito Administrativo,Lei 14.133/21  –   Nova Lei de Licitações (Parte de Licitações),trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.09,0.17,0.06,CFC+: [14 133/21 nova licitacoes] | V2+: [organizacao administrativa administracao direta],NENHUM,,Análise manual necessária
16,Direito Administrativo,Lei 8.429/92  –   Lei de Improbidade Administrativa,trt4_2026p__adm_t7,Direito Administrativo,Tópico 07 - Improbidade Administrativa (Lei nº 8.429/1992 e Lei nº 14.230/2021),0.92,0.8,0.5,CFC+: [429/92] | V2+: [n 429/1992 14 230/2021],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
16,Direito Administrativo,Lei 8.429/92  –   Lei de Improbidade Administrativa,trt4_2026p__adm_t4,Direito Administrativo,"Tópico 04 - Servidores públicos: Cargo, emprego e função; Lei nº 8.112/1990; Lei nº 11.416/2006 (Carreiras do PJU)",0.56,0.4,0.15,CFC+: [429/92 improbidade administrativa] | V2+: [servidores publicos cargo emprego],PARCIAL,,Correspondência forte sugerida
16,Direito Administrativo,Lei 8.429/92  –   Lei de Improbidade Administrativa,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.2,0.4,0.12,CFC+: [8 429/92 improbidade] | V2+: [organizacao administracao direta indireta],PARCIAL,,Análise manual necessária
16,Direito Administrativo,Lei 8.429/92  –   Lei de Improbidade Administrativa,trt4_2026p__adm_t5,Direito Administrativo,Tópico 05 - Processo administrativo federal (Lei nº 9.784/1999),0.14,0.2,0.14,CFC+: [8 429/92 improbidade administrativa] | V2+: [processo administrativo federal n],NENHUM,,Análise manual necessária
16,Direito Administrativo,Lei 8.429/92  –   Lei de Improbidade Administrativa,trt4_2026p__adm_t8,Direito Administrativo,Tópico 08 - Nova Lei de Licitações e Contratos Administrativos (Lei nº 14.133/2021),0.13,0.2,0.13,CFC+: [8 429/92 improbidade administrativa] | V2+: [nova licitacoes contratos administrativos],NENHUM,,Análise manual necessária
17,Direito Administrativo,Lei 13.709/18  –   Lei Geral de Proteção de Dados (LGPD),,Direito Administrativo,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
18,Direito do Trabalho,Princípios,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
19,Direito do Trabalho,Direitos Trabalhistas Previstos Constitucionalmente,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
20,Direito do Trabalho,"Empregador, Empregado e Relação de Emprego",,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
21,Direito do Trabalho,Contrato de Trabalho,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
22,Direito do Trabalho,Contratos Especiais de Trabalho,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
23,Direito do Trabalho,Remuneração,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
24,Direito do Trabalho,Teletrabalho,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
25,Direito do Trabalho,Férias Anuais,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
26,Direito do Trabalho,Rescisão do Contrato de Trabalho,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
27,Direito do Trabalho,Aviso Prévio,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
28,Direito do Trabalho,Tutelas Especiais,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
29,Direito do Trabalho,Responsabilidade Trabalhista,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
30,Direito do Trabalho,Convenções Coletivas de Trabalho,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
31,Direito do Trabalho,Prescrição,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
32,Direito do Trabalho,Jurisprudências,,Direito do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
33,Direito Constitucional,Aspectos Introdutórios do Direito Constitucional,,Direito Constitucional,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
34,Direito Constitucional,Dos Princípios Fundamentais,trt4_2026p__const_t1,Direito Constitucional,Tópico 01 - Constituição: Princípios fundamentais,0.77,1,0.67,V2+: [constituicao],PARCIAL,,Correspondência forte sugerida
34,Direito Constitucional,Dos Princípios Fundamentais,trt4_2026p__const_t5,Direito Constitucional,Tópico 05 - Direitos e Garantias Fundamentais: Nacionalidade e Direitos políticos,0.28,0.5,0.2,CFC+: [principios] | V2+: [direitos garantias nacionalidade politicos],PARCIAL,,Análise manual necessária
34,Direito Constitucional,Dos Princípios Fundamentais,trt4_2026p__const_t4,Direito Constitucional,Tópico 04 - Direitos e Garantias Fundamentais: Direitos e deveres individuais e coletivos; Direitos sociais,0.24,0.5,0.14,CFC+: [principios] | V2+: [direitos garantias deveres individuais],PARCIAL,,Análise manual necessária
35,Direito Constitucional,Dos Direitos e Garantias Fundamentais,trt4_2026p__const_t5,Direito Constitucional,Tópico 05 - Direitos e Garantias Fundamentais: Nacionalidade e Direitos políticos,0.72,1,0.6,V2+: [nacionalidade politicos],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
35,Direito Constitucional,Dos Direitos e Garantias Fundamentais,trt4_2026p__const_t4,Direito Constitucional,Tópico 04 - Direitos e Garantias Fundamentais: Direitos e deveres individuais e coletivos; Direitos sociais,0.6,1,0.43,V2+: [deveres individuais coletivos sociais],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
35,Direito Constitucional,Dos Direitos e Garantias Fundamentais,trt4_2026p__const_t1,Direito Constitucional,Tópico 01 - Constituição: Princípios fundamentais,0.28,0.33,0.33,CFC+: [direitos garantias] | V2+: [constituicao principios],PARCIAL,,Análise manual necessária
36,Direito Constitucional,Da Organização do Estado,trt4_2026p__const_t6,Direito Constitucional,"Tópico 06 - Organização do Estado: Organização político-administrativa da União, Estados, Municípios, DF e Territórios",0.45,1,0.22,V2+: [politico administrativa uniao estados],CFC_MAIS_ESTREITO,,Análise manual necessária
37,Direito Constitucional,Da Intervenção,,Direito Constitucional,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
38,Direito Constitucional,Da Administração Pública,trt4_2026p__const_t7,Direito Constitucional,Tópico 07 - Administração Pública: Disposições gerais e Servidores Públicos,0.53,1,0.33,V2+: [disposicoes gerais servidores publicos],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
38,Direito Constitucional,Da Administração Pública,trt4_2026p__const_t11,Direito Constitucional,"Tópico 11 - Funções Essenciais à Justiça: Ministério Público, Advocacia Pública, Advocacia e Defensoria Pública",0.23,0.5,0.13,CFC+: [administracao] | V2+: [funcoes essenciais justica ministerio],PARCIAL,,Análise manual necessária
39,Direito Constitucional,Do Processo Legislativo,trt4_2026p__const_t9,Direito Constitucional,"Tópico 09 - Poder Legislativo: Congresso Nacional, Câmara, Senado, Processo Legislativo e Fiscalização Contábil/Financeira/Orçamentária",0.45,1,0.22,V2+: [poder congresso nacional camara],CFC_MAIS_ESTREITO,,Análise manual necessária
40,Direito Constitucional,"Da Fiscalização Contábil, Financeira e Orçamentária",trt4_2026p__const_t9,Direito Constitucional,"Tópico 09 - Poder Legislativo: Congresso Nacional, Câmara, Senado, Processo Legislativo e Fiscalização Contábil/Financeira/Orçamentária",0.14,0.25,0.11,CFC+: [contabil financeira orcamentaria] | V2+: [poder legislativo congresso nacional],NENHUM,,Análise manual necessária
41,Direito Constitucional,Do Poder Executivo,trt4_2026p__const_t8,Direito Constitucional,Tópico 08 - Poder Executivo: Atribuições e responsabilidades do Presidente da República,0.53,1,0.33,V2+: [atribuicoes responsabilidades presidente republica],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
41,Direito Constitucional,Do Poder Executivo,trt4_2026p__const_t9,Direito Constitucional,"Tópico 09 - Poder Legislativo: Congresso Nacional, Câmara, Senado, Processo Legislativo e Fiscalização Contábil/Financeira/Orçamentária",0.22,0.5,0.11,CFC+: [executivo] | V2+: [legislativo congresso nacional camara],PARCIAL,,Análise manual necessária
41,Direito Constitucional,Do Poder Executivo,trt4_2026p__const_t10,Direito Constitucional,Tópico 10 - Poder Judiciário: Disposições gerais; STF; CNJ; STJ; Tribunais e Juízes do Trabalho; CSJT,0.21,0.5,0.09,CFC+: [executivo] | V2+: [judiciario disposicoes gerais stf],PARCIAL,,Análise manual necessária
42,Direito Constitucional,Do Poder Judiciário,trt4_2026p__const_t10,Direito Constitucional,Tópico 10 - Poder Judiciário: Disposições gerais; STF; CNJ; STJ; Tribunais e Juízes do Trabalho; CSJT,0.43,1,0.18,V2+: [disposicoes gerais stf cnj],CFC_MAIS_ESTREITO,,Análise manual necessária
